scenario,target,queue_size,total_events,cqs_top10_events,raeg_top10_events,event_gain,capture_gain,event_gain_per_100_reviewed_hours,excess_delay60_gain,excess_delay60_gain_per_100_reviewed_hours,raeg_budget_needed_for_cqs_top10_events,cqs_budget_needed_for_raeg_top10_events,budget_saved_to_match_raeg_top10,extra_raeg_budget_needed_to_match_cqs_top10
primary_10airport_rolling,long_arrival_delay,5305,151489.0,69886.0,60771.0,9115.0,0.060169385235891715,171.81903864278982,876441.0,16521.036757775684,0.14,0.08,0.020000000000000004,0.04000000000000001
primary_10airport_rolling,severe_arrival_delay,5305,67796.0,33225.0,30008.0,3217.0,0.04745117706059355,60.640904806786054,804232.0,15159.886899151743,0.13,0.08,0.020000000000000004,0.03
primary_10airport_rolling,cancellation,5305,26755.0,19128.0,18042.0,1086.0,0.040590543823584374,20.471253534401505,1104579.0,20821.470311027333,0.13,0.09,0.010000000000000009,0.03
scope_30airport_rolling,long_arrival_delay,15655,284753.0,132979.0,113457.0,19522.0,0.06855766225465579,124.70137336314278,1948828.0,12448.59789204727,0.14,0.08,0.020000000000000004,0.04000000000000001
scope_30airport_rolling,severe_arrival_delay,15655,121913.0,59417.0,51826.0,7591.0,0.06226571407479104,48.48930054295752,1873517.0,11967.531140210795,0.14,0.08,0.020000000000000004,0.04000000000000001
scope_30airport_rolling,cancellation,15655,46168.0,32517.0,30549.0,1968.0,0.04262692774215907,12.571063557968701,2223830.0,14205.237943149154,0.13,0.08,0.020000000000000004,0.03
cross_year_2024_to_2025,long_arrival_delay,7052,186602.0,86486.0,75347.0,11139.0,0.059693893956120514,157.95519001701646,1099130.0,15586.07487237663,0.14,0.08,0.020000000000000004,0.04000000000000001
cross_year_2024_to_2025,severe_arrival_delay,7052,83198.0,40814.0,36487.0,4327.0,0.052008461741868794,61.35847986386841,1061890.0,15057.997731140102,0.14,0.08,0.020000000000000004,0.04000000000000001
cross_year_2024_to_2025,cancellation,7052,36239.0,26118.0,24453.0,1665.0,0.04594497640663374,23.61032331253545,1289881.0,18290.995462280203,0.13,0.08,0.020000000000000004,0.03
