scenario,target,top10_capture,top20_capture,brier,ece_10,top10_capture_gain,top20_capture_gain,queue_overlap_with_cqs,robust_event_gain_vs_raeg,event_gain,event_gain_per_100_reviewed_hours,extra_raeg_budget_needed_to_match_cqs_top10
cross_year_2024_to_2025,cancellation,0.7207152515246006,0.8391511907061453,0.014152728419260626,0.0005311168680835718,0.04652446259554621,0.030823146334060025,0.987379466817924,1687.0,1665.0,23.61032331253545,0.03
cross_year_2024_to_2025,long_arrival_delay,0.46347841930954653,0.6273941329674924,0.06913894723056185,0.0021592504776786468,0.059597431967503056,0.07409888425633171,0.9886557005104935,11135.0,11139.0,157.95519001701646,0.04000000000000001
cross_year_2024_to_2025,severe_arrival_delay,0.49056467703550566,0.6434048895406139,0.034623090592476466,0.0017142981438020267,0.05303012091636816,0.07329503113055602,0.9702212138400453,4308.0,4327.0,61.35847986386841,0.04000000000000001
primary_10airport_rolling,cancellation,0.7149317884507569,0.828106895907307,0.013826016554154193,0.0012281230623348027,0.040627920014950525,0.022836852924686957,0.9400565504241282,1002.0,1086.0,20.471253534401505,0.03
primary_10airport_rolling,long_arrival_delay,0.46132722507904866,0.6267121705206319,0.0722947077751232,0.002212274139287515,0.06034101485916471,0.07088963555109618,0.9915174363807728,9125.0,9115.0,171.81903864278982,0.04000000000000001
primary_10airport_rolling,severe_arrival_delay,0.4900731606584459,0.6438580447224025,0.03654531182017278,0.0027956395307774445,0.04742167679509113,0.06547583928255352,0.971536286522149,3136.0,3217.0,60.640904806786054,0.03
scope_30airport_rolling,cancellation,0.7043190088372899,0.8225177612198926,0.012124490048096619,0.00043061732107317987,0.04319008837289906,0.029457632992549,0.9874800383264133,1947.0,1968.0,12.571063557968701,0.03
scope_30airport_rolling,long_arrival_delay,0.4669977138081074,0.6311013404599776,0.06916493523724868,0.0007050690816925181,0.06862087493371449,0.07767082348561738,0.9936761418077291,19535.0,19522.0,124.70137336314278,0.04000000000000001
scope_30airport_rolling,severe_arrival_delay,0.4873721424294374,0.6412933813457138,0.033122575577952465,0.002403873915465687,0.062208296079991454,0.07618547652834406,0.9874161609709358,7526.0,7591.0,48.48930054295752,0.04000000000000001
