target,model,log_loss,brier,auc,event_rate,arrivals,events,pr_auc,ece_10,top_decile_precision,top_decile_lift,top1_capture,top5_capture,top10_capture,top20_capture,top30_capture
cancellation,CQS-Rank,0.12873109480575595,0.03261259499114574,0.8701960224825568,0.03557444061962134,92960,3307,0.1896555505172878,0.022949747806247325,0.19309380378657487,5.427880254006653,0.13486543695192016,0.42636830964620503,0.6930752948291503,0.8609011188388267,0.9053522830359843
cancellation,Graph-temporal evidence,0.14073286503396337,0.03342905698535319,0.8659637317984982,0.03557444061962134,92960,3307,0.1579769318317025,0.024446572909661866,0.18081877198233928,5.082828256267995,0.051708497127305714,0.3017840943453281,0.5467190807378288,0.7973994557000302,0.8941638947686725
cancellation,RAEG-Rank,0.15786321405638684,0.03334922922916427,0.8563535818615058,0.03557444061962134,92960,3307,0.16345037165228565,0.02639306102909064,0.18919710798079536,5.318343863893178,0.057151496824916846,0.3568188690656184,0.5817961899002116,0.8013305110371939,0.8856970063501663
long_arrival_delay,CQS-Rank,0.23873183803138054,0.06389200424640672,0.7050042625834786,0.0754302925989673,92960,7012,0.22790912025147755,0.005483705555841834,0.2567940936679047,3.4043894676794664,0.09512264689104392,0.2809469480889903,0.4122932116371934,0.5824301197946378,0.698374215630348
long_arrival_delay,Graph-temporal evidence,0.24270507856373935,0.06501507275061866,0.7184854436189027,0.0754302925989673,92960,7012,0.209532156951034,0.009223198868881208,0.2557836387567075,3.3909935908191,0.056902452937820876,0.22076440387906446,0.34583571021106674,0.5015687393040502,0.6072447233314319
long_arrival_delay,RAEG-Rank,0.2448044128744236,0.06505753774961379,0.7190714086371917,0.0754302925989673,92960,7012,0.2098810611583879,0.01259980966940368,0.2569551605436524,3.4065247752621115,0.06560182544209926,0.21491728465487736,0.3476896748431261,0.5069880205362236,0.6083856246434683
