target,candidate,reference,auc_gain,pr_auc_gain,brier_gain,ece_10_gain,top5_capture_gain,top10_capture_gain,top20_capture_gain
cancellation,CQS-Rank,Graph-temporal evidence,0.004232290684058615,0.0316786186855853,0.00081646199420745,0.001496825103414541,0.12458421530087693,0.1463562140913215,0.06350166313879646
cancellation,CQS-Rank,RAEG-Rank,0.013842440621051,0.02620517886500215,0.0007366342380185353,0.003443313222843313,0.06954944058058665,0.11127910492893867,0.05957060780163281
long_arrival_delay,CQS-Rank,Graph-temporal evidence,-0.013481181035424061,0.018376963300443555,0.001123068504211941,0.003739493313039375,0.06018254420992583,0.06645750142612666,0.08086138049058755
long_arrival_delay,CQS-Rank,RAEG-Rank,-0.014067146053713064,0.01802805909308966,0.0011655335032070696,0.007116104113561846,0.06602966343411293,0.06460353679406733,0.07544209925841416
