target,horizon,model,model_label,band,selected_hours,selected_arrivals,selected_events,workload_share,event_capture_or_leakage,event_rate,lift_vs_panel
cancellation,1,online_DCSI,Online DCSI,top_10_review,7052.0,206034.0,19001.0,0.10000141805754477,0.5191388213436792,0.09222264286476989,5.334037122022515
cancellation,1,online_DCSI,Online DCSI,bottom_50_release,35260.0,1084980.0,6625.0,0.5000070902877238,0.18100598344307534,0.006106103338310384,0.35316903599490507
cancellation,1,online_baseline,Online context,top_10_review,7052.0,193964.0,10311.0,0.10000141805754477,0.2817136143821207,0.053159349157575635,3.0746672723839885
cancellation,1,online_baseline,Online context,bottom_50_release,35260.0,1095815.0,10970.0,0.5000070902877238,0.29971858692385456,0.01001081386912937,0.5790123893748502
cancellation,1,online_fixed_decay,Fixed decay,top_10_review,7052.0,207551.0,19130.0,0.10000141805754477,0.5226633152099669,0.09217011722420032,5.330999107626561
cancellation,1,online_fixed_decay,Fixed decay,bottom_50_release,35260.0,1076977.0,6629.0,0.5000070902877238,0.18111527007458814,0.006155191800753405,0.35600824850064544
cancellation,1,online_relation_DCSI,Relation-DCSI,top_10_review,7052.0,205812.0,19070.0,0.10000141805754477,0.521024015737275,0.09265737663498727,5.3591815550652395
cancellation,1,online_relation_DCSI,Relation-DCSI,bottom_50_release,35260.0,1087334.0,6518.0,0.5000070902877238,0.17808256605010792,0.005994478237597647,0.34671278607129014
cancellation,3,online_DCSI,Online DCSI,top_10_review,6491.0,191690.0,16596.0,0.0999984594290644,0.4782846767918384,0.08657728624341385,4.945881236857464
cancellation,3,online_DCSI,Online DCSI,bottom_50_release,32456.0,996777.0,6703.0,0.500007702854678,0.19317559583849678,0.00672467362308721,0.38415892365704013
cancellation,3,online_baseline,Online context,top_10_review,6491.0,178626.0,9248.0,0.0999984594290644,0.26652064901005795,0.05177297817786884,2.957623326587368
cancellation,3,online_baseline,Online context,bottom_50_release,32456.0,1024381.0,10561.0,0.500007702854678,0.30436035620623075,0.010309640651281116,0.588956532000253
cancellation,3,online_fixed_decay,Fixed decay,top_10_review,6491.0,192589.0,16662.0,0.0999984594290644,0.4801867488976628,0.08651584462248622,4.942371275142405
cancellation,3,online_fixed_decay,Fixed decay,bottom_50_release,32456.0,989851.0,6884.0,0.500007702854678,0.19839188449234849,0.006954582053258521,0.39729285104513895
cancellation,3,online_relation_DCSI,Relation-DCSI,top_10_review,6491.0,189401.0,16765.0,0.0999984594290644,0.483155134153722,0.08851590012724325,5.056627997925788
cancellation,3,online_relation_DCSI,Relation-DCSI,bottom_50_release,32456.0,998202.0,6702.0,0.500007702854678,0.19314677656416612,0.006714071901278499,0.38355328147018913
cancellation,6,online_DCSI,Online DCSI,top_10_review,6228.0,166622.0,12082.0,0.09999518327633544,0.39475919754296546,0.07251143306406117,4.066814361061547
cancellation,6,online_DCSI,Online DCSI,bottom_50_release,31142.0,846449.0,7035.0,0.5000080278727743,0.22985689080572436,0.008311191814273512,0.4661344121824702
cancellation,6,online_baseline,Online context,top_10_review,6228.0,162383.0,7734.0,0.09999518327633544,0.252695549892178,0.04762813841350388,2.671231130124576
cancellation,6,online_baseline,Online context,bottom_50_release,31142.0,871660.0,9616.0,0.5000080278727743,0.3141867607658629,0.01103182433517656,0.6187214862429798
cancellation,6,online_fixed_decay,Fixed decay,top_10_review,6228.0,165973.0,12109.0,0.09999518327633544,0.39564137750767825,0.07295764973821044,4.091840488692649
cancellation,6,online_fixed_decay,Fixed decay,bottom_50_release,31142.0,843507.0,7068.0,0.5000080278727743,0.23093511076259557,0.008379302127901724,0.4699543891143136
cancellation,6,online_relation_DCSI,Relation-DCSI,top_10_review,6228.0,162900.0,12407.0,0.09999518327633544,0.40537803045154547,0.07616329036218539,4.271629313366217
cancellation,6,online_relation_DCSI,Relation-DCSI,bottom_50_release,31142.0,846180.0,7041.0,0.5000080278727743,0.23005293079788278,0.008320924625966106,0.46668027835408454
long_arrival_delay,1,online_DCSI,Online DCSI,top_10_review,7052.0,198913.0,58501.0,0.10000141805754477,0.31081511863902495,0.2941034522630497,3.3078848977359874
long_arrival_delay,1,online_DCSI,Online DCSI,bottom_50_release,35260.0,1113138.0,49715.0,0.5000070902877238,0.2641352049219522,0.0446620275293809,0.5023295212276881
