log_loss,brier,auc,event_rate,arrivals,events,target,model,fold_month,rho
0.24417265577420505,0.062494364718280924,0.6148013371300196,0.06664977956298589,165807,11051,long_arrival_delay,baseline,1,
0.2332133682088895,0.060243638325991423,0.6606807836599315,0.06664977956298589,165807,11051,long_arrival_delay,fixed_window,1,
0.2299468266707813,0.05965490784349948,0.6739098158271639,0.06664977956298589,165807,11051,long_arrival_delay,dynamic_state,1,0.95
0.13804729888118838,0.03050909876590601,0.7155728233076614,0.032423239067108145,165807,5376,cancellation,baseline,1,
0.12568277431758965,0.029153089614512715,0.7797545619578777,0.032423239067108145,165807,5376,cancellation,fixed_window,1,
0.12410815242869075,0.028716224867557302,0.791929616270279,0.032423239067108145,165807,5376,cancellation,dynamic_state,1,0.95
0.2637362634673572,0.06969107394626345,0.636881774245428,0.07643191259690556,152855,11683,long_arrival_delay,baseline,2,
0.25175424659189793,0.06671137909037267,0.6731114850306874,0.07643191259690556,152855,11683,long_arrival_delay,fixed_window,2,
0.2490143231585834,0.06588786463715797,0.679758661450882,0.07643191259690556,152855,11683,long_arrival_delay,dynamic_state,2,0.95
0.07416531837013592,0.014091958312038029,0.675380664814897,0.013934774786562429,152855,2130,cancellation,baseline,2,
0.06923521082772112,0.013649214436294256,0.7244595098650731,0.013934774786562429,152855,2130,cancellation,fixed_window,2,
0.06819641325460304,0.013590807727667954,0.7369592976669104,0.013934774786562429,152855,2130,cancellation,dynamic_state,2,0.95
0.24786068340066628,0.06508571348220804,0.6589425577186432,0.07175414479945237,179683,12893,long_arrival_delay,baseline,3,
0.23614502097683035,0.06233337566244875,0.7071153187795146,0.07175414479945237,179683,12893,long_arrival_delay,fixed_window,3,
0.23123889519669574,0.0610196469488033,0.720140703495949,0.07175414479945237,179683,12893,long_arrival_delay,dynamic_state,3,0.95
0.06217950039727486,0.011678500512619719,0.6947432217729512,0.011781860276153003,179683,2117,cancellation,baseline,3,
0.0593380324301998,0.011446426616988668,0.730059630245678,0.011781860276153003,179683,2117,cancellation,fixed_window,3,
0.05742139605415211,0.011259086376022806,0.7532087718176375,0.011781860276153003,179683,2117,cancellation,dynamic_state,3,0.95
0.26564022976316726,0.07115786273269595,0.6627257980917817,0.07954506623534906,175586,13967,long_arrival_delay,baseline,4,
0.24740855403574485,0.06626731511853849,0.7273887767533668,0.07954506623534906,175586,13967,long_arrival_delay,fixed_window,4,
0.24510869253261083,0.06594449436205649,0.7352863259285454,0.07954506623534906,175586,13967,long_arrival_delay,dynamic_state,4,0.95
0.059545309681320664,0.01129939858379804,0.7275797086927845,0.011453077124599911,175586,2011,cancellation,baseline,4,
0.054592452991514974,0.010891031129300479,0.7953730443958201,0.011453077124599911,175586,2011,cancellation,fixed_window,4,
0.05325157582857967,0.011069056232145779,0.8235182028155242,0.011453077124599911,175586,2011,cancellation,dynamic_state,4,0.95
0.30237052458319347,0.08571456306869762,0.7167159017420193,0.1023162364001668,184653,18893,long_arrival_delay,baseline,5,
0.28114951206693534,0.0791045163184486,0.7617869954414078,0.1023162364001668,184653,18893,long_arrival_delay,fixed_window,5,
0.27759475481355456,0.07777706039697838,0.7647662750774684,0.1023162364001668,184653,18893,long_arrival_delay,dynamic_state,5,0.95
0.06738411740726535,0.013167074407003862,0.7402535437091374,0.013463090228699235,184653,2486,cancellation,baseline,5,
0.06309117182575563,0.013156444309785515,0.7961330799692649,0.013463090228699235,184653,2486,cancellation,fixed_window,5,
0.06496819076479968,0.013996160943380742,0.812903651203573,0.013463090228699235,184653,2486,cancellation,dynamic_state,5,0.95
0.34817869227776216,0.10197450526944377,0.6860889029262291,0.12076779668280975,186664,22543,long_arrival_delay,baseline,6,
0.33038582205834927,0.09632357881317531,0.7312637642468844,0.12076779668280975,186664,22543,long_arrival_delay,fixed_window,6,
0.3261359201118616,0.09496791896261118,0.7431357762384049,0.12076779668280975,186664,22543,long_arrival_delay,dynamic_state,6,0.95
0.09292215805867313,0.018611451259405325,0.6421150429813668,0.01906098658552265,186664,3558,cancellation,baseline,6,
