target,shift_hours,mean_fold_auc,mean_fold_brier,folds
cancellation,-336,0.7586861657239107,0.016072566234319633,12
cancellation,-168,0.7592941112993997,0.01606078837665967,12
cancellation,168,0.7594199203534772,0.016055721085606423,12
cancellation,336,0.7595159183226986,0.016049055549853922,12
long_arrival_delay,-336,0.7148408708798665,0.07348435771361307,12
long_arrival_delay,-168,0.7147878132199307,0.07345696846901245,12
long_arrival_delay,168,0.714695613814103,0.07345306356682339,12
long_arrival_delay,336,0.7147768968833406,0.07348070684608375,12
