log_loss,brier,auc,event_rate,arrivals,events,transfer,target,model,rho,baseline_auc,baseline_brier,fixed_auc,fixed_brier,auc_gain_vs_baseline,auc_gain_vs_fixed,brier_gain_vs_baseline,brier_gain_vs_fixed
0.2849165932193616,0.07807109736884947,0.6678726221418321,0.08828631161376976,2145746,189440,train2024_test2025,long_arrival_delay,baseline,,0.6678726221418321,0.07807109736884947,0.7197139750643176,0.0738409595443573,0.0,-0.051841352922485484,0.0,-0.004230137824492164
0.26847766295331643,0.0738409595443573,0.7197139750643176,0.08828631161376976,2145746,189440,train2024_test2025,long_arrival_delay,fixed_window,,0.6678726221418321,0.07807109736884947,0.7197139750643176,0.0738409595443573,0.051841352922485484,0.0,0.004230137824492164,0.0
0.2651617128151118,0.07280994979341093,0.7264459479601789,0.08828631161376976,2145746,189440,train2024_test2025,long_arrival_delay,dynamic_state,0.95,0.6678726221418321,0.07807109736884947,0.7197139750643176,0.0738409595443573,0.058573325818346844,0.00673197289586136,0.005261147575438538,0.001031009750946374
0.08295790828565264,0.01671243853708134,0.6892452909947114,0.01721172962689899,2145746,36932,train2024_test2025,cancellation,baseline,,0.6892452909947114,0.01671243853708134,0.7469112719846461,0.016121191280312565,0.0,-0.057665980989934695,0.0,-0.000591247256768776
0.07680951562735923,0.016121191280312565,0.7469112719846461,0.01721172962689899,2145746,36932,train2024_test2025,cancellation,fixed_window,,0.6892452909947114,0.01671243853708134,0.7469112719846461,0.016121191280312565,0.057665980989934695,0.0,0.000591247256768776,0.0
0.07611705913753192,0.016313077747736448,0.7706420374302289,0.01721172962689899,2145746,36932,train2024_test2025,cancellation,dynamic_state,0.95,0.6892452909947114,0.01671243853708134,0.7469112719846461,0.016121191280312565,0.08139674643551742,0.023730765445582724,0.0003993607893448929,-0.00019188646742388307
0.25864757870262073,0.06873289480094151,0.655948137900594,0.07616391284658292,2250147,171380,main10_to_extension20,long_arrival_delay,baseline,,0.655948137900594,0.06873289480094151,0.6846331763656475,0.06715145439523632,0.0,-0.028685038465053436,0.0,-0.001581440405705195
0.2519457414596702,0.06715145439523632,0.6846331763656475,0.07616391284658292,2250147,171380,main10_to_extension20,long_arrival_delay,fixed_window,,0.655948137900594,0.06873289480094151,0.6846331763656475,0.06715145439523632,0.028685038465053436,0.0,0.001581440405705195,0.0
0.2523308638145294,0.06709710754168582,0.6866946435752973,0.07616391284658292,2250147,171380,main10_to_extension20,long_arrival_delay,dynamic_state,0.93,0.655948137900594,0.06873289480094151,0.6846331763656475,0.06715145439523632,0.030746505674703273,0.0020614672096498365,0.001635787259255686,5.434685355049096e-05
0.06660589287055904,0.012465576684232945,0.6251222877707692,0.012680060458272281,2250147,28532,main10_to_extension20,cancellation,baseline,,0.6251222877707692,0.012465576684232945,0.6742897364625113,0.012279743252180357,0.0,-0.049167448691742166,0.0,-0.00018583343205258798
0.06394778548967124,0.012279743252180357,0.6742897364625113,0.012680060458272281,2250147,28532,main10_to_extension20,cancellation,fixed_window,,0.6251222877707692,0.012465576684232945,0.6742897364625113,0.012279743252180357,0.049167448691742166,0.0,0.00018583343205258798,0.0
0.06400126062218835,0.01228995097242347,0.6863646936446876,0.012680060458272281,2250147,28532,main10_to_extension20,cancellation,dynamic_state,0.93,0.6251222877707692,0.012465576684232945,0.6742897364625113,0.012279743252180357,0.06124240587391838,0.012074957182176216,0.00017562571180947464,-1.0207720243113338e-05
