log_loss,brier,auc,event_rate,arrivals,events,target,model,fold_month,rho,horizon,base_auc,base_brier,base_log_loss,fixed_auc,fixed_brier,fixed_log_loss,decay_auc,decay_brier,decay_log_loss,auc_gain_vs_base,auc_gain_vs_start,auc_gain_vs_decay,brier_gain_vs_base,brier_gain_vs_start,brier_gain_vs_decay
0.08157611888311889,0.016589924324100128,0.6963623623964982,0.017289464012916672,2116954,36601,cancellation,known_start_window,all,,1,0.6660945702242823,0.01682932592639456,0.08427090076020448,0.6963623623964982,0.016589924324100128,0.08157611888311889,0.7805959252796557,0.015857122383512074,0.07400014281950923,0.030267792172215868,0.0,-0.08423356288315753,0.00023940160229443327,0.0,-0.0007328019405880536
0.07419966490830165,0.015905241763384197,0.7812905111889806,0.017289464012916672,2116954,36601,cancellation,online_DCSI,all,fold_selected,1,0.6660945702242823,0.01682932592639456,0.08427090076020448,0.6963623623964982,0.016589924324100128,0.08157611888311889,0.7805959252796557,0.015857122383512074,0.07400014281950923,0.11519594096469832,0.08492814879248245,0.0006945859093249185,0.0009240841630103643,0.000684682560715931,-4.8119379872122586e-05
0.08427090076020448,0.01682932592639456,0.6660945702242823,0.017289464012916672,2116954,36601,cancellation,online_baseline,all,,1,0.6660945702242823,0.01682932592639456,0.08427090076020448,0.6963623623964982,0.016589924324100128,0.08157611888311889,0.7805959252796557,0.015857122383512074,0.07400014281950923,0.0,-0.030267792172215868,-0.1145013550553734,0.0,-0.00023940160229443327,-0.0009722035428824868
0.07400014281950923,0.015857122383512074,0.7805959252796557,0.017289464012916672,2116954,36601,cancellation,online_fixed_decay,all,,1,0.6660945702242823,0.01682932592639456,0.08427090076020448,0.6963623623964982,0.016589924324100128,0.08157611888311889,0.7805959252796557,0.015857122383512074,0.07400014281950923,0.1145013550553734,0.08423356288315753,0.0,0.0009722035428824868,0.0007328019405880536,0.0
0.07398222076075123,0.015862266798962837,0.7835623029971891,0.017289464012916672,2116954,36601,cancellation,online_relation_DCSI,all,fold_selected,1,0.6660945702242823,0.01682932592639456,0.08427090076020448,0.6963623623964982,0.016589924324100128,0.08157611888311889,0.7805959252796557,0.015857122383512074,0.07400014281950923,0.11746773277290679,0.08719994060069092,0.002966377717533386,0.0009670591274317242,0.0007276575251372909,-5.144415450762663e-06
0.2805100967369593,0.07697248974130089,0.6840979186510895,0.0889098204306754,2116954,188218,long_arrival_delay,known_start_window,all,,1,0.6696236123393711,0.07822261006584896,0.28515430876119413,0.6840979186510895,0.07697248974130089,0.2805100967369593,0.714913282249748,0.07502692411169315,0.27223248575507913,0.014474306311718421,0.0,-0.03081536359865855,0.0012501203245480763,0.0,-0.0019455656296077373
0.2727699818033311,0.07519646235584601,0.7138019343400879,0.0889098204306754,2116954,188218,long_arrival_delay,online_DCSI,all,fold_selected,1,0.6696236123393711,0.07822261006584896,0.28515430876119413,0.6840979186510895,0.07697248974130089,0.2805100967369593,0.714913282249748,0.07502692411169315,0.27223248575507913,0.04417832200071681,0.029704015688998386,-0.0011113479096601653,0.003026147710002952,0.0017760273854548758,-0.00016953824415286145
0.28515430876119413,0.07822261006584896,0.6696236123393711,0.0889098204306754,2116954,188218,long_arrival_delay,online_baseline,all,,1,0.6696236123393711,0.07822261006584896,0.28515430876119413,0.6840979186510895,0.07697248974130089,0.2805100967369593,0.714913282249748,0.07502692411169315,0.27223248575507913,0.0,-0.014474306311718421,-0.04528966991037697,0.0,-0.0012501203245480763,-0.0031956859541558136
0.27223248575507913,0.07502692411169315,0.714913282249748,0.0889098204306754,2116954,188218,long_arrival_delay,online_fixed_decay,all,,1,0.6696236123393711,0.07822261006584896,0.28515430876119413,0.6840979186510895,0.07697248974130089,0.2805100967369593,0.714913282249748,0.07502692411169315,0.27223248575507913,0.04528966991037697,0.03081536359865855,0.0,0.0031956859541558136,0.0019455656296077373,0.0
0.27045797085038603,0.07452052591358957,0.7187452518082998,0.0889098204306754,2116954,188218,long_arrival_delay,online_relation_DCSI,all,fold_selected,1,0.6696236123393711,0.07822261006584896,0.28515430876119413,0.6840979186510895,0.07697248974130089,0.2805100967369593,0.714913282249748,0.07502692411169315,0.27223248575507913,0.04912163946892878,0.03464733315721036,0.0038319695585518065,0.003702084152259394,0.0024519638277113176,0.0005063981981035803
0.08256730850740501,0.01678443858878997,0.688037899051024,0.017504926240085723,1982242,34699,cancellation,known_start_window,all,,3,0.6583535802278047,0.017051081769070768,0.08544662298175283,0.688037899051024,0.01678443858878997,0.08256730850740501,0.7606370996414168,0.016253998721652452,0.07673376779605999,0.029684318823219313,0.0,-0.07259920059039282,0.00026664318028079767,0.0,-0.0005304398671375186
0.07695926137785784,0.016320043076567547,0.7629089699207954,0.017504926240085723,1982242,34699,cancellation,online_DCSI,all,fold_selected,3,0.6583535802278047,0.017051081769070768,0.08544662298175283,0.688037899051024,0.01678443858878997,0.08256730850740501,0.7606370996414168,0.016253998721652452,0.07673376779605999,0.10455538969299072,0.0748710708697714,0.002271870279378585,0.0007310386925032213,0.0004643955122224236,-6.604435491509505e-05
0.08544662298175283,0.017051081769070768,0.6583535802278047,0.017504926240085723,1982242,34699,cancellation,online_baseline,all,,3,0.6583535802278047,0.017051081769070768,0.08544662298175283,0.688037899051024,0.01678443858878997,0.08256730850740501,0.7606370996414168,0.016253998721652452,0.07673376779605999,0.0,-0.029684318823219313,-0.10228351941361213,0.0,-0.00026664318028079767,-0.0007970830474183163
0.07673376779605999,0.016253998721652452,0.7606370996414168,0.017504926240085723,1982242,34699,cancellation,online_fixed_decay,all,,3,0.6583535802278047,0.017051081769070768,0.08544662298175283,0.688037899051024,0.01678443858878997,0.08256730850740501,0.7606370996414168,0.016253998721652452,0.07673376779605999,0.10228351941361213,0.07259920059039282,0.0,0.0007970830474183163,0.0005304398671375186,0.0
0.07663475371653376,0.01626601282900983,0.7648020805178287,0.017504926240085723,1982242,34699,cancellation,online_relation_DCSI,all,fold_selected,3,0.6583535802278047,0.017051081769070768,0.08544662298175283,0.688037899051024,0.01678443858878997,0.08256730850740501,0.7606370996414168,0.016253998721652452,0.07673376779605999,0.10644850029002406,0.07676418146680475,0.004164980876411928,0.0007850689400609387,0.000518425759780141,-1.2014107357377624e-05
0.2877445190510075,0.07937997150744452,0.6790253645738105,0.09198271452224299,1982242,182332,long_arrival_delay,known_start_window,all,,3,0.6653740048527922,0.0807543619127892,0.2926216366491841,0.6790253645738105,0.07937997150744452,0.2877445190510075,0.7018843852591731,0.07801891289124795,0.28191203754217986,0.013651359721018275,0.0,-0.022859020685362608,0.0013743904053446776,0.0,-0.0013610586161965782
0.282049124523943,0.0780601987347143,0.7016597840168745,0.09198271452224299,1982242,182332,long_arrival_delay,online_DCSI,all,fold_selected,3,0.6653740048527922,0.0807543619127892,0.2926216366491841,0.6790253645738105,0.07937997150744452,0.2877445190510075,0.7018843852591731,0.07801891289124795,0.28191203754217986,0.036285779164082266,0.02263441944306399,-0.00022460124229861655,0.0026941631780749015,0.0013197727727302239,-4.128584346635433e-05
0.2926216366491841,0.0807543619127892,0.6653740048527922,0.09198271452224299,1982242,182332,long_arrival_delay,online_baseline,all,,3,0.6653740048527922,0.0807543619127892,0.2926216366491841,0.6790253645738105,0.07937997150744452,0.2877445190510075,0.7018843852591731,0.07801891289124795,0.28191203754217986,0.0,-0.013651359721018275,-0.03651038040638088,0.0,-0.0013743904053446776,-0.002735449021541256
0.28191203754217986,0.07801891289124795,0.7018843852591731,0.09198271452224299,1982242,182332,long_arrival_delay,online_fixed_decay,all,,3,0.6653740048527922,0.0807543619127892,0.2926216366491841,0.6790253645738105,0.07937997150744452,0.2877445190510075,0.7018843852591731,0.07801891289124795,0.28191203754217986,0.03651038040638088,0.022859020685362608,0.0,0.002735449021541256,0.0013610586161965782,0.0
0.28005354706589547,0.07745122005776511,0.7056595887299966,0.09198271452224299,1982242,182332,long_arrival_delay,online_relation_DCSI,all,fold_selected,3,0.6653740048527922,0.0807543619127892,0.2926216366491841,0.6790253645738105,0.07937997150744452,0.2877445190510075,0.7018843852591731,0.07801891289124795,0.28191203754217986,0.04028558387720438,0.026634224156186104,0.003775203470823496,0.0033031418550240887,0.0019287514496794111,0.000567692833482833
0.08495555131215889,0.017162704652854105,0.668259642960255,0.017830032705287723,1716542,30606,cancellation,known_start_window,all,,6,0.6482086487148948,0.01739060395741436,0.08721992595255043,0.668259642960255,0.017162704652854105,0.08495555131215889,0.7213913198695776,0.016927572750497985,0.08150785449063741,0.020050994245360165,0.0,-0.053131676909322634,0.00022789930456025564,0.0,-0.00023513190235611992
0.08150353562657259,0.016933134093091808,0.7229854876804,0.017830032705287723,1716542,30606,cancellation,online_DCSI,all,fold_selected,6,0.6482086487148948,0.01739060395741436,0.08721992595255043,0.668259642960255,0.017162704652854105,0.08495555131215889,0.7213913198695776,0.016927572750497985,0.08150785449063741,0.07477683896550524,0.05472584472014508,0.0015941678108224444,0.00045746986432255304,0.0002295705597622974,-5.561342593822516e-06
0.08721992595255043,0.01739060395741436,0.6482086487148948,0.017830032705287723,1716542,30606,cancellation,online_baseline,all,,6,0.6482086487148948,0.01739060395741436,0.08721992595255043,0.668259642960255,0.017162704652854105,0.08495555131215889,0.7213913198695776,0.016927572750497985,0.08150785449063741,0.0,-0.020050994245360165,-0.0731826711546828,0.0,-0.00022789930456025564,-0.00046303120691637556
0.08150785449063741,0.016927572750497985,0.7213913198695776,0.017830032705287723,1716542,30606,cancellation,online_fixed_decay,all,,6,0.6482086487148948,0.01739060395741436,0.08721992595255043,0.668259642960255,0.017162704652854105,0.08495555131215889,0.7213913198695776,0.016927572750497985,0.08150785449063741,0.0731826711546828,0.053131676909322634,0.0,0.00046303120691637556,0.00023513190235611992,0.0
0.08117373871250622,0.016873899256386903,0.7244625395138216,0.017830032705287723,1716542,30606,cancellation,online_relation_DCSI,all,fold_selected,6,0.6482086487148948,0.01739060395741436,0.08721992595255043,0.668259642960255,0.017162704652854105,0.08495555131215889,0.7213913198695776,0.016927572750497985,0.08150785449063741,0.07625389079892675,0.056202896553566584,0.00307121964424395,0.0005167047010274581,0.00028880539646720244,5.367349411108252e-05
0.30662264966764685,0.08564209150479822,0.6612280333897169,0.09878814500315168,1716542,169574,long_arrival_delay,known_start_window,all,,6,0.653766681341382,0.08641210446445675,0.3092541579203634,0.6612280333897169,0.08564209150479822,0.30662264966764685,0.679556675893612,0.08460927306199202,0.3022568247377732,0.007461352048334868,0.0,-0.0183286425038951,0.0007700129596585337,0.0,-0.0010328184428061993
0.3022067345122588,0.08459722700403613,0.6797755522159633,0.09878814500315168,1716542,169574,long_arrival_delay,online_DCSI,all,fold_selected,6,0.653766681341382,0.08641210446445675,0.3092541579203634,0.6612280333897169,0.08564209150479822,0.30662264966764685,0.679556675893612,0.08460927306199202,0.3022568247377732,0.026008870874581258,0.01854751882624639,0.00021887632235129129,0.0018148774604206247,0.001044864500762091,1.2046057955891754e-05
0.3092541579203634,0.08641210446445675,0.653766681341382,0.09878814500315168,1716542,169574,long_arrival_delay,online_baseline,all,,6,0.653766681341382,0.08641210446445675,0.3092541579203634,0.6612280333897169,0.08564209150479822,0.30662264966764685,0.679556675893612,0.08460927306199202,0.3022568247377732,0.0,-0.007461352048334868,-0.025789994552229967,0.0,-0.0007700129596585337,-0.001802831402464733
0.3022568247377732,0.08460927306199202,0.679556675893612,0.09878814500315168,1716542,169574,long_arrival_delay,online_fixed_decay,all,,6,0.653766681341382,0.08641210446445675,0.3092541579203634,0.6612280333897169,0.08564209150479822,0.30662264966764685,0.679556675893612,0.08460927306199202,0.3022568247377732,0.025789994552229967,0.0183286425038951,0.0,0.001802831402464733,0.0010328184428061993,0.0
0.30114601791958795,0.08422628536846269,0.6815653639063572,0.09878814500315168,1716542,169574,long_arrival_delay,online_relation_DCSI,all,fold_selected,6,0.653766681341382,0.08641210446445675,0.3092541579203634,0.6612280333897169,0.08564209150479822,0.30662264966764685,0.679556675893612,0.08460927306199202,0.3022568247377732,0.027798682564975197,0.02033733051664033,0.00200868801274523,0.0021858190959940654,0.0014158061363355318,0.0003829876935293325
