event_id,airport,tmi_type,constraint_type,state_peak_hour,delay_peak_hour,cancel_peak_hour,state_peak,delay_peak,cancel_peak,arrivals
61,ATL,GS,other constraint,16,11,-6,11.25415440507331,0.3043478260869565,1.0,770
62,ORD,GS,weather constraint,11,11,8,2.881119165119321,0.4696969696969697,0.1578947368421052,725
63,ATL,GS,other constraint,14,9,3,11.25415440507331,0.3043478260869565,0.9166666666666666,769
64,ATL,GS,other constraint,14,9,3,11.25415440507331,0.3043478260869565,0.9166666666666666,769
65,ATL,GS,other constraint,13,8,2,11.25415440507331,0.3043478260869565,0.9166666666666666,769
66,DFW,GDP,other constraint,8,7,-6,8.968679590377898,0.5964912280701754,0.8571428571428571,835
67,ATL,GDP,other constraint,10,5,-1,11.25415440507331,0.3043478260869565,0.9166666666666666,798
68,ATL,GS,other constraint,8,18,-3,11.25415440507331,0.3829787234042553,0.9166666666666666,807
69,ATL,GS,other constraint,8,18,-3,11.25415440507331,0.3829787234042553,0.9166666666666666,807
70,ATL,GS,other constraint,7,17,-4,11.25415440507331,0.3829787234042553,0.9166666666666666,801
71,ORD,GS,weather constraint,2,2,16,2.881119165119321,0.4696969696969697,0.1794871794871795,725
72,EWR,GS,weather constraint,1,8,4,7.628941024808321,1.0,0.1666666666666666,356
73,ORD,GS,weather constraint,2,2,16,2.881119165119321,0.4696969696969697,0.1794871794871795,725
74,ATL,GS,other constraint,5,15,-6,11.25415440507331,0.3829787234042553,0.9166666666666666,779
75,ATL,GDP,other constraint,10,5,-1,11.25415440507331,0.3043478260869565,0.9166666666666666,798
76,ATL,GDP,other constraint,4,10,-1,10.589010444227595,0.4871794871794871,0.7,662
77,ATL,GS,other constraint,5,15,-6,11.25415440507331,0.3829787234042553,0.9166666666666666,779
78,DEN,GDP,facility constraint,3,6,5,3.9363848680952183,0.1818181818181818,0.0909090909090909,816
79,EWR,GDP,facility constraint,6,1,-6,6.066634356896097,0.1428571428571428,0.0,348
80,EWR,GDP,facility constraint,6,1,-6,6.066634356896097,0.1428571428571428,0.0,348
81,LGA,GS,demand constraint,0,3,-6,0.9845742042841769,0.0769230769230769,0.0,377
82,EWR,GDP,facility constraint,4,2,18,4.5205905681223255,0.3333333333333333,0.2666666666666666,312
83,JFK,GDP,weather constraint,8,6,14,7.395042305946252,0.5833333333333334,1.0,280
84,CLT,GS,weather constraint,1,2,8,1.2533334245671854,0.2631578947368421,0.1666666666666666,585
85,LGA,GS,weather constraint,9,8,4,6.487740580195109,0.4,0.5,366
86,CLT,GS,weather constraint,0,1,7,1.2533334245671854,0.2631578947368421,0.1666666666666666,571
87,LGA,GS,weather constraint,6,5,1,6.487740580195109,0.4,0.5,401
88,LGA,GS,weather constraint,4,3,-1,6.487740580195109,0.4,0.5,404
89,JFK,GS,weather constraint,3,1,9,7.395042305946252,0.5833333333333334,1.0,283
90,LGA,GS,weather constraint,3,2,-2,6.487740580195109,0.4,0.5,407
91,JFK,GS,weather constraint,2,0,8,7.395042305946252,0.5833333333333334,1.0,293
92,LGA,GS,weather constraint,2,1,-3,6.487740580195109,0.4,0.5,407
93,LGA,GS,weather constraint,3,2,-2,6.487740580195109,0.4,0.5,407
94,LGA,GS,weather constraint,5,4,0,6.487740580195109,0.4,0.5,399
95,LGA,GDP,weather constraint,2,1,-3,6.487740580195109,0.4,0.5,407
96,JFK,GS,weather constraint,1,-1,7,7.395042305946252,0.5833333333333334,1.0,289
97,EWR,GDP,facility constraint,6,3,17,6.402002070184444,0.3809523809523809,0.1333333333333333,348
98,JFK,GS,demand constraint,2,4,12,3.6677525858066766,0.3333333333333333,0.125,283
99,EWR,GS,facility constraint,4,1,15,6.402002070184444,0.3809523809523809,0.1333333333333333,343
100,ATL,GDP,other constraint,18,3,17,6.818117528751325,0.5,0.4716981132075472,830
101,ATL,GS,other constraint,18,3,17,6.818117528751325,0.5,0.4716981132075472,830
102,ATL,GS,weather constraint,18,2,16,7.477211652313759,0.5,0.4716981132075472,824
103,ATL,GS,weather constraint,18,18,15,8.103351069698071,0.5454545454545454,0.4716981132075472,815
104,CLT,GS,facility constraint,11,4,0,9.014690301989248,0.2115384615384615,0.5,513
105,ATL,GS,other constraint,18,18,15,8.103351069698071,0.5454545454545454,0.4716981132075472,815
106,ATL,GDP,other constraint,11,5,2,11.2382031790558,0.5454545454545454,0.4716981132075472,766
107,CLT,GDP,facility constraint,10,3,-1,9.014690301989248,0.2115384615384615,0.5,512
108,ATL,GS,other constraint,11,5,2,11.2382031790558,0.5454545454545454,0.4716981132075472,766
109,ATL,GS,other constraint,10,4,1,11.2382031790558,0.5454545454545454,0.4716981132075472,766
110,ATL,GS,other constraint,10,4,1,11.2382031790558,0.5454545454545454,0.4716981132075472,766
111,LGA,GS,other constraint,1,7,0,1.663678841450504,0.1153846153846153,0.1333333333333333,384
112,ATL,GS,weather constraint,18,17,14,8.698183516213167,0.5454545454545454,0.4716981132075472,823
113,ATL,GS,other constraint,10,4,1,11.2382031790558,0.5454545454545454,0.4716981132075472,766
114,ATL,GDP,other constraint,8,2,-1,11.2382031790558,0.5454545454545454,0.4716981132075472,766
115,ATL,GS,other constraint,18,16,13,9.263274340402507,0.5454545454545454,0.4716981132075472,823
116,DEN,GS,weather constraint,11,4,-6,8.891731669619078,0.5185185185185185,0.0,702
117,DEN,GS,weather constraint,11,4,-6,8.891731669619078,0.5185185185185185,0.0,702
118,DEN,GDP,weather constraint,9,2,-3,8.891731669619078,0.5185185185185185,0.0,701
119,CLT,GS,weather constraint,1,6,-6,1.2623430323347664,0.1428571428571428,0.0,554
120,LGA,GS,weather constraint,8,3,-6,6.892393946627686,0.1304347826086956,0.0,400
121,LGA,GDP,weather constraint,7,2,-6,6.892393946627686,0.1304347826086956,0.0,398
122,LGA,GS,weather constraint,6,7,17,7.448926261437398,0.1363636363636363,0.1176470588235294,400
123,LGA,GDP,weather constraint,5,6,16,7.448926261437398,0.1363636363636363,0.1176470588235294,409
124,EWR,GS,demand constraint,0,7,18,0.9334676942384857,0.1666666666666666,0.0588235294117647,342
125,DFW,GS,weather constraint,3,1,5,3.872776250534396,0.6290322580645161,0.6666666666666666,848
