log_loss,brier,auc,event_rate,arrivals,events,transfer,target,model,rho
0.2849165932193616,0.07807109736884947,0.6678726221418321,0.08828631161376976,2145746,189440,train2024_test2025,long_arrival_delay,baseline,
0.26847766295331643,0.0738409595443573,0.7197139750643176,0.08828631161376976,2145746,189440,train2024_test2025,long_arrival_delay,fixed_window,
0.2651617128151118,0.07280994979341093,0.7264459479601789,0.08828631161376976,2145746,189440,train2024_test2025,long_arrival_delay,dynamic_state,0.95
0.08295790828565264,0.01671243853708134,0.6892452909947114,0.01721172962689899,2145746,36932,train2024_test2025,cancellation,baseline,
0.07680951562735923,0.016121191280312565,0.7469112719846461,0.01721172962689899,2145746,36932,train2024_test2025,cancellation,fixed_window,
0.07611705913753192,0.016313077747736448,0.7706420374302289,0.01721172962689899,2145746,36932,train2024_test2025,cancellation,dynamic_state,0.95
0.25864757870262073,0.06873289480094151,0.655948137900594,0.07616391284658292,2250147,171380,main10_to_extension20,long_arrival_delay,baseline,
0.2519457414596702,0.06715145439523632,0.6846331763656475,0.07616391284658292,2250147,171380,main10_to_extension20,long_arrival_delay,fixed_window,
0.2523308638145294,0.06709710754168582,0.6866946435752973,0.07616391284658292,2250147,171380,main10_to_extension20,long_arrival_delay,dynamic_state,0.93
0.06660589287055904,0.012465576684232945,0.6251222877707692,0.012680060458272281,2250147,28532,main10_to_extension20,cancellation,baseline,
0.06394778548967124,0.012279743252180357,0.6742897364625113,0.012680060458272281,2250147,28532,main10_to_extension20,cancellation,fixed_window,
0.06400126062218835,0.01228995097242347,0.6863646936446876,0.012680060458272281,2250147,28532,main10_to_extension20,cancellation,dynamic_state,0.93
