target,reference,candidate,auc_diff,ci_low,ci_high,p_diff_gt_0,bootstrap_reps
long_arrival_delay,fixed_active_post,DCSI,0.00842687834001099,0.007108549254722166,0.009953847744184473,1.0,300
long_arrival_delay,distributed_lag_24h,DCSI,0.0014580775577457405,0.0009852252098735913,0.00186488795563062,1.0,300
long_arrival_delay,time_since_action,DCSI,0.0017225785669525706,0.0010388360002210524,0.002551080624919987,1.0,300
long_arrival_delay,fixed_decay_090_095,DCSI,0.0005675308648577237,0.0003089449225443658,0.0008362656240000487,1.0,300
long_arrival_delay,lightgbm_tabular_lag,DCSI,-0.009233804188691463,-0.010635833077456764,-0.007657170683603888,0.0,300
cancellation,fixed_active_post,DCSI,0.029193195910070968,0.02099392597769385,0.03819761922311126,1.0,300
cancellation,distributed_lag_24h,DCSI,0.007484414419770213,0.0055077609475287365,0.009922760525386716,1.0,300
cancellation,time_since_action,DCSI,-0.005979795024938506,-0.009494406502590669,-0.002496768750757622,0.0,300
cancellation,fixed_decay_090_095,DCSI,0.00025916828983885143,0.00012035565186195307,0.0003833391061586755,1.0,300
cancellation,lightgbm_tabular_lag,DCSI,-0.025057337864901497,-0.03252369083611806,-0.017922721925040807,0.0,300
