constraint_type,rho,implied_half_life_hours,positive_airport_hours,top_state_airport_hours,top_state_arrivals,mean_top_state,delay_rate_top_state,cancel_rate_top_state,recovery_state_area
weather constraint,0.95,13.513407333964874,72607,7261,179644,6.527565642199841,0.2603760771303244,0.06965442764578833,72588.18714511885
facility constraint,0.95,13.513407333964874,50315,5032,118980,3.7188367207633406,0.16472516389309128,0.04772230626996134,21695.94322338057
runway or surface constraint,0.95,13.513407333964874,50709,5071,143277,1.7102446493295371,0.13382468923832855,0.020889605449583667,10184.846558108939
demand constraint,0.95,13.513407333964874,35648,3565,71141,1.4676471851679977,0.11749905118005088,0.02523158235054328,5871.913821465075
other constraint,0.95,13.513407333964874,63188,6319,193294,0.9077888391757503,0.144194853435699,0.05832048589195732,5433.437181237523
