target,horizon,band,relation_event_share,context_event_share,event_share_diff,relation_lift,context_lift,lift_diff,selected_hours
cancellation,1,top_10_review,0.521024015737275,0.2817136143821207,0.23931040135515425,5.3591815550652395,3.0746672723839885,2.284514282681251,7052.0
cancellation,1,bottom_50_release,0.17808256605010792,0.29971858692385456,-0.12163602087374664,0.34671278607129014,0.5790123893748502,-0.2322996033035601,35260.0
cancellation,3,top_10_review,0.483155134153722,0.26652064901005795,0.21663448514366407,5.056627997925788,2.957623326587368,2.09900467133842,6491.0
cancellation,3,bottom_50_release,0.19314677656416612,0.30436035620623075,-0.11121357964206463,0.38355328147018913,0.588956532000253,-0.20540325053006386,32456.0
cancellation,6,top_10_review,0.40537803045154547,0.252695549892178,0.15268248055936745,4.271629313366217,2.671231130124576,1.6003981832416412,6228.0
cancellation,6,bottom_50_release,0.23005293079788278,0.3141867607658629,-0.0841338299679801,0.46668027835408454,0.6187214862429798,-0.1520412078888953,31142.0
long_arrival_delay,1,top_10_review,0.3255161567969057,0.21513351539172662,0.11038264140517909,3.4242830957853143,2.382991251086132,1.0412918446991823,7052.0
long_arrival_delay,1,bottom_50_release,0.26115993156871287,0.29847304721121254,-0.03731311564249967,0.4969171505456319,0.5701940653474253,-0.07327691480179344,35260.0
long_arrival_delay,3,top_10_review,0.3004519228659807,0.20225193602878266,0.09819998683719805,3.343842368918513,2.306904286703145,1.036938082215368,6491.0
long_arrival_delay,3,bottom_50_release,0.27762543053331284,0.31219972358115966,-0.034574293047846816,0.5276958299616111,0.5865527703047423,-0.05885694034313116,32456.0
long_arrival_delay,6,top_10_review,0.266532605234293,0.20161699317112294,0.06491561206317006,2.7924974899081634,2.097771426877357,0.6947260630308065,6228.0
long_arrival_delay,6,bottom_50_release,0.2631653437437343,0.28956679679667874,-0.026401453052944446,0.5517750432464393,0.5937123069233066,-0.04193726367686723,31142.0
