horizon,state_field,top_arrivals,low_arrivals,top_delay_rate,low_delay_rate,top_cancel_rate,low_cancel_rate
1,known_start_impulse,2116954,2039905,0.0889098204306754,0.08030521029165574,0.017289464012916672,0.014290861584240443
1,online_constraint_state,203851,199855,0.25350378462700696,0.05703635135473218,0.08439497476097738,0.00697005328863426
3,known_start_impulse,1982242,1915186,0.09198271452224299,0.08302065700146095,0.017504926240085723,0.014405911488492502
3,online_constraint_state,183485,191491,0.23746355287898194,0.059919265135176064,0.08033354225141019,0.00766093445644965
6,known_start_impulse,1716542,1671859,0.09878814500315168,0.09265494279122821,0.017830032705287723,0.01522915509023189
6,online_constraint_state,162877,155440,0.21716387212436378,0.07096628924343798,0.06832763373588659,0.008627123005661349
