log_loss,brier,auc,event_rate,arrivals,events,target,model,fold_month,rho,base_auc,base_brier,base_log_loss,fixed_auc,fixed_brier,fixed_log_loss,auc_gain_vs_base,auc_gain_vs_fixed,brier_gain_vs_base,brier_gain_vs_fixed,log_loss_gain_vs_base,log_loss_gain_vs_fixed
0.08378655916767254,0.01672776899130801,0.6700919726604868,0.01721172962689899,2145746,36932,cancellation,calendar_weather_demand,all,,0.6700919726604868,0.01672776899130801,0.08378655916767254,0.7397122030418416,0.0160134074314593,0.07680500196375331,0.0,-0.06962023038135479,0.0,-0.0007143615598487092,0.0,-0.006981557203919228
0.07635378230506658,0.016154489491513675,0.7614209845321424,0.01721172962689899,2145746,36932,cancellation,distributed_lag_24h,all,,0.6700919726604868,0.01672776899130801,0.08378655916767254,0.7397122030418416,0.0160134074314593,0.07680500196375331,0.09132901187165554,0.021708781490300755,0.0005732794997943338,-0.00014108206005437537,0.007432776862605961,0.00045121965868673286
0.07680500196375331,0.0160134074314593,0.7397122030418416,0.01721172962689899,2145746,36932,cancellation,fixed_active_post,all,,0.6700919726604868,0.01672776899130801,0.08378655916767254,0.7397122030418416,0.0160134074314593,0.07680500196375331,0.06962023038135479,0.0,0.0007143615598487092,0.0,0.006981557203919228,0.0
0.07492009671658927,0.015910961925670226,0.7686462306620737,0.01721172962689899,2145746,36932,cancellation,fixed_decay_090_095,all,,0.6700919726604868,0.01672776899130801,0.08378655916767254,0.7397122030418416,0.0160134074314593,0.07680500196375331,0.0985542580015869,0.028934027620232117,0.0008168070656377827,0.00010244550578907344,0.008866462451083273,0.0018849052471640454
0.07506036865564188,0.01595344204661602,0.7748851939768511,0.01721172962689899,2145746,36932,cancellation,time_since_action,all,,0.6700919726604868,0.01672776899130801,0.08378655916767254,0.7397122030418416,0.0160134074314593,0.07680500196375331,0.10479322131636426,0.035172990935009474,0.0007743269446919901,5.996538484328087e-05,0.008726190512030663,0.0017446333081114346
0.2837512825895995,0.07773910544608079,0.6702246578849121,0.08828631161376976,2145746,189440,long_arrival_delay,calendar_weather_demand,all,,0.6702246578849121,0.07773910544608079,0.2837512825895995,0.71775071836823,0.07389063148571068,0.26883839983604246,0.0,-0.04752606048331787,0.0,-0.003848473960370108,0.0,-0.01491288275355701
0.26518880910208714,0.07278913444505349,0.7247195191504953,0.08828631161376976,2145746,189440,long_arrival_delay,distributed_lag_24h,all,,0.6702246578849121,0.07773910544608079,0.2837512825895995,0.71775071836823,0.07389063148571068,0.26883839983604246,0.05449486126558312,0.00696880078226525,0.004949971001027301,0.0011014970406571928,0.018562473487512332,0.0036495907339553213
0.26883839983604246,0.07389063148571068,0.71775071836823,0.08828631161376976,2145746,189440,long_arrival_delay,fixed_active_post,all,,0.6702246578849121,0.07773910544608079,0.2837512825895995,0.71775071836823,0.07389063148571068,0.26883839983604246,0.04752606048331787,0.0,0.003848473960370108,0.0,0.01491288275355701,0.0
0.2648668855650557,0.07268038514734676,0.7256100658433833,0.08828631161376976,2145746,189440,long_arrival_delay,fixed_decay_090_095,all,,0.6702246578849121,0.07773910544608079,0.2837512825895995,0.71775071836823,0.07389063148571068,0.26883839983604246,0.05538540795847113,0.007859347475153267,0.005058720298734026,0.0012102463383639184,0.018884397024543753,0.003971514270986742
0.26606107095907505,0.07312509616318019,0.7244550181412884,0.08828631161376976,2145746,189440,long_arrival_delay,time_since_action,all,,0.6702246578849121,0.07773910544608079,0.2837512825895995,0.71775071836823,0.07389063148571068,0.26883839983604246,0.05423036025637629,0.00670429977305842,0.004614009282900594,0.0007655353225304862,0.01769021163052442,0.002777328876967411
0.0721949824321671,0.015654870419077756,0.7939627368168141,0.01721172962689899,2145746,36932,cancellation,lightgbm_tabular_lag,all,,0.6700919726604868,0.01672776899130801,0.08378655916767254,0.7397122030418416,0.0160134074314593,0.07680500196375331,0.12387076415632725,0.054250533774972465,0.001072898572230252,0.00035853701238154276,0.01159157673550544,0.0046100195315862125
0.2614622948847584,0.07170851065704689,0.7354114008969325,0.08828631161376976,2145746,189440,long_arrival_delay,lightgbm_tabular_lag,all,,0.6702246578849121,0.07773910544608079,0.2837512825895995,0.71775071836823,0.07389063148571068,0.26883839983604246,0.06518674301202032,0.017660682528702454,0.006030594789033894,0.002182120828663786,0.022288987704841057,0.007376104951284046
0.0748797416048512,0.0159005223848806,0.7689053989519126,0.0172117296268989,2145746,36932,cancellation,DCSI,all,fold_selected,0.6700919726604868,0.01672776899130801,0.08378655916767254,0.7397122030418416,0.0160134074314593,0.07680500196375331,0.09881342629142575,0.029193195910070968,0.0008272466064274085,0.0001128850465786993,0.008906817562821343,0.0019252603589021144
0.2649285924827866,0.0727332579988965,0.726177596708241,0.0882863116137697,2145746,189440,long_arrival_delay,DCSI,all,fold_selected,0.6702246578849121,0.07773910544608079,0.2837512825895995,0.71775071836823,0.07389063148571068,0.26883839983604246,0.05595293882332886,0.00842687834001099,0.005005847447184283,0.0011573734868141755,0.018822690106812867,0.003909807353255856
0.07423931457499706,0.015818535989546332,0.7778321704497364,0.01721172962689899,2145746,36932,cancellation,DCSI_relation_state,all,fold_selected,0.6700919726604868,0.01672776899130801,0.08378655916767254,0.7397122030418416,0.0160134074314593,0.07680500196375331,0.10774019778924959,0.038119967407894806,0.0009092330017616765,0.00019487144191296726,0.009547244592675475,0.0025656873887562465
0.26478244897467734,0.07269838207708278,0.7266942764469582,0.08828631161376976,2145746,189440,long_arrival_delay,DCSI_relation_state,all,fold_selected,0.6702246578849121,0.07773910544608079,0.2837512825895995,0.71775071836823,0.07389063148571068,0.26883839983604246,0.05646961856204602,0.008943558078728153,0.00504072336899801,0.0011922494086279017,0.01896883361492213,0.004055950861365121
