log_loss,brier,auc,event_rate,arrivals,events,target,model,fold_month,rho,horizon
0.2435347085069048,0.06237180386643773,0.6182392809102554,0.0668119718481358,164252,10974,long_arrival_delay,online_baseline,1,,1
0.24084689958343733,0.061979144667411785,0.6314651742071002,0.0668119718481358,164252,10974,long_arrival_delay,known_start_window,1,,1
0.2352182064983334,0.06130511869057445,0.6700146395330867,0.0668119718481358,164252,10974,long_arrival_delay,online_fixed_decay,1,,1
0.23540881468158414,0.06134243655051956,0.6686598895853241,0.0668119718481358,164252,10974,long_arrival_delay,online_DCSI,1,0.9,1
0.23340389764598507,0.06093491456715538,0.6738843549867533,0.0668119718481358,164252,10974,long_arrival_delay,online_relation_DCSI,1,0.9,1
0.13965545470285048,0.030726212164649967,0.7084101092144723,0.03251710785865621,164252,5341,cancellation,online_baseline,1,,1
0.1336342071712287,0.03004038077720494,0.736038199241858,0.03251710785865621,164252,5341,cancellation,known_start_window,1,,1
0.12010934246955336,0.027831678358353946,0.7896278560792439,0.03251710785865621,164252,5341,cancellation,online_fixed_decay,1,,1
0.12037608508401104,0.02786441805920825,0.7867948699388857,0.03251710785865621,164252,5341,cancellation,online_DCSI,1,0.9,1
0.1203805556433571,0.027781120275027937,0.7919416218407742,0.03251710785865621,164252,5341,cancellation,online_relation_DCSI,1,0.9,1
0.263809112539317,0.06975790945819085,0.6388020010003993,0.07681179524781515,151383,11628,long_arrival_delay,online_baseline,2,,1
0.2615799891278946,0.06922816165328614,0.6441396817864847,0.07681179524781515,151383,11628,long_arrival_delay,known_start_window,2,,1
0.25422254908039466,0.06738619348386635,0.6685954351512267,0.07681179524781515,151383,11628,long_arrival_delay,online_fixed_decay,2,,1
0.25417203385757137,0.06741907707216277,0.670212520665403,0.07681179524781515,151383,11628,long_arrival_delay,online_DCSI,2,0.95,1
0.25323769002623703,0.06723273759719378,0.6739884335155937,0.07681179524781515,151383,11628,long_arrival_delay,online_relation_DCSI,2,0.95,1
0.07353888254056487,0.013918952843497511,0.6695596418369744,0.013819253152599697,151383,2092,cancellation,online_baseline,2,,1
0.07240871791215728,0.013913488642188996,0.6793919732239035,0.013819253152599697,151383,2092,cancellation,known_start_window,2,,1
0.06836828176310608,0.013464462394431194,0.7217570307111141,0.013819253152599697,151383,2092,cancellation,online_fixed_decay,2,,1
0.06846650997861949,0.013484815282812954,0.7215883462063959,0.013819253152599697,151383,2092,cancellation,online_DCSI,2,0.95,1
