artifact,bytes,dataset,date,records,status,url,year
data/raw/faa_atcscc_advisories/2024_10/parsed_20241001.csv,415,FAA ATCSCC advisories,2024-10-01,2,downloaded,https://www.fly.faa.gov/adv/adv_list,
data/raw/faa_atcscc_advisories/2024_10/parsed_20241002.csv,582,FAA ATCSCC advisories,2024-10-02,3,downloaded,https://www.fly.faa.gov/adv/adv_list,
data/raw/faa_atcscc_advisories/2024_10/parsed_20241004.csv,738,FAA ATCSCC advisories,2024-10-04,4,downloaded,https://www.fly.faa.gov/adv/adv_list,
data/raw/faa_atcscc_advisories/2024_10/parsed_20241006.csv,746,FAA ATCSCC advisories,2024-10-06,4,downloaded,https://www.fly.faa.gov/adv/adv_list,
data/raw/faa_atcscc_advisories/2024_10/parsed_20241003.csv,1590,FAA ATCSCC advisories,2024-10-03,9,downloaded,https://www.fly.faa.gov/adv/adv_list,
data/raw/faa_atcscc_advisories/2024_10/parsed_20241005.csv,1559,FAA ATCSCC advisories,2024-10-05,9,downloaded,https://www.fly.faa.gov/adv/adv_list,
data/raw/faa_atcscc_advisories/2024_10/parsed_20241009.csv,401,FAA ATCSCC advisories,2024-10-09,2,downloaded,https://www.fly.faa.gov/adv/adv_list,
data/raw/faa_atcscc_advisories/2024_10/parsed_20241010.csv,1225,FAA ATCSCC advisories,2024-10-10,7,downloaded,https://www.fly.faa.gov/adv/adv_list,
data/raw/faa_atcscc_advisories/2024_10/parsed_20241008.csv,1569,FAA ATCSCC advisories,2024-10-08,9,downloaded,https://www.fly.faa.gov/adv/adv_list,
data/raw/faa_atcscc_advisories/2024_10/parsed_20241012.csv,242,FAA ATCSCC advisories,2024-10-12,1,downloaded,https://www.fly.faa.gov/adv/adv_list,
data/raw/faa_atcscc_advisories/2024_10/parsed_20241007.csv,2240,FAA ATCSCC advisories,2024-10-07,13,downloaded,https://www.fly.faa.gov/adv/adv_list,
data/raw/faa_atcscc_advisories/2024_10/parsed_20241013.csv,583,FAA ATCSCC advisories,2024-10-13,3,downloaded,https://www.fly.faa.gov/adv/adv_list,
data/raw/faa_atcscc_advisories/2024_10/parsed_20241016.csv,570,FAA ATCSCC advisories,2024-10-16,3,downloaded,https://www.fly.faa.gov/adv/adv_list,
data/raw/faa_atcscc_advisories/2024_10/parsed_20241015.csv,731,FAA ATCSCC advisories,2024-10-15,4,downloaded,https://www.fly.faa.gov/adv/adv_list,
data/raw/faa_atcscc_advisories/2024_10/parsed_20241019.csv,400,FAA ATCSCC advisories,2024-10-19,2,downloaded,https://www.fly.faa.gov/adv/adv_list,
data/raw/faa_atcscc_advisories/2024_10/parsed_20241021.csv,245,FAA ATCSCC advisories,2024-10-21,1,downloaded,https://www.fly.faa.gov/adv/adv_list,
data/raw/faa_atcscc_advisories/2024_10/parsed_20241011.csv,2675,FAA ATCSCC advisories,2024-10-11,16,downloaded,https://www.fly.faa.gov/adv/adv_list,
data/raw/faa_atcscc_advisories/2024_10/parsed_20241014.csv,2380,FAA ATCSCC advisories,2024-10-14,14,downloaded,https://www.fly.faa.gov/adv/adv_list,
data/raw/faa_atcscc_advisories/2024_10/parsed_20241017.csv,1723,FAA ATCSCC advisories,2024-10-17,10,downloaded,https://www.fly.faa.gov/adv/adv_list,
data/raw/faa_atcscc_advisories/2024_10/parsed_20241023.csv,418,FAA ATCSCC advisories,2024-10-23,2,downloaded,https://www.fly.faa.gov/adv/adv_list,
data/raw/faa_atcscc_advisories/2024_10/parsed_20241022.csv,565,FAA ATCSCC advisories,2024-10-22,3,downloaded,https://www.fly.faa.gov/adv/adv_list,
data/raw/faa_atcscc_advisories/2024_10/parsed_20241024.csv,399,FAA ATCSCC advisories,2024-10-24,2,downloaded,https://www.fly.faa.gov/adv/adv_list,
data/raw/faa_atcscc_advisories/2024_10/parsed_20241026.csv,81,FAA ATCSCC advisories,2024-10-26,0,downloaded,https://www.fly.faa.gov/adv/adv_list,
data/raw/faa_atcscc_advisories/2024_10/parsed_20241018.csv,1715,FAA ATCSCC advisories,2024-10-18,10,downloaded,https://www.fly.faa.gov/adv/adv_list,
data/raw/faa_atcscc_advisories/2024_10/parsed_20241020.csv,2236,FAA ATCSCC advisories,2024-10-20,13,downloaded,https://www.fly.faa.gov/adv/adv_list,
data/raw/faa_atcscc_advisories/2024_10/parsed_20241029.csv,242,FAA ATCSCC advisories,2024-10-29,1,downloaded,https://www.fly.faa.gov/adv/adv_list,
data/raw/faa_atcscc_advisories/2024_10/parsed_20241030.csv,248,FAA ATCSCC advisories,2024-10-30,1,downloaded,https://www.fly.faa.gov/adv/adv_list,
data/raw/faa_atcscc_advisories/2024_10/parsed_20241025.csv,1549,FAA ATCSCC advisories,2024-10-25,9,downloaded,https://www.fly.faa.gov/adv/adv_list,
data/raw/faa_atcscc_advisories/2024_10/parsed_20241028.csv,1060,FAA ATCSCC advisories,2024-10-28,6,downloaded,https://www.fly.faa.gov/adv/adv_list,
data/raw/faa_atcscc_advisories/2024_10/parsed_20241031.csv,1084,FAA ATCSCC advisories,2024-10-31,6,downloaded,https://www.fly.faa.gov/adv/adv_list,
data/raw/faa_atcscc_advisories/2024_10/parsed_20241027.csv,1734,FAA ATCSCC advisories,2024-10-27,10,downloaded,https://www.fly.faa.gov/adv/adv_list,
data/raw/faa_atcscc_advisories/faa_atcscc_gdp_gs_reparsed_2024_v2.csv,717056,FAA ATCSCC advisories combined,,4334,parsed,https://www.fly.faa.gov/adv/adv_list,2024
data/raw/faa_atcscc_advisories/faa_atcscc_errors_reparsed_2024_v2.csv,28,FAA ATCSCC advisory parse errors,,0,parsed,https://www.fly.faa.gov/adv/adv_list,2024

