artifact,bytes,dataset,date,records,status,url,year
data/raw/faa_atcscc_advisories/2024_12/parsed_20241203.csv,403,FAA ATCSCC advisories,2024-12-03,2,downloaded,https://www.fly.faa.gov/adv/adv_list,
data/raw/faa_atcscc_advisories/2024_12/parsed_20241202.csv,878,FAA ATCSCC advisories,2024-12-02,5,downloaded,https://www.fly.faa.gov/adv/adv_list,
data/raw/faa_atcscc_advisories/2024_12/parsed_20241207.csv,576,FAA ATCSCC advisories,2024-12-07,3,downloaded,https://www.fly.faa.gov/adv/adv_list,
data/raw/faa_atcscc_advisories/2024_12/parsed_20241201.csv,1052,FAA ATCSCC advisories,2024-12-01,6,downloaded,https://www.fly.faa.gov/adv/adv_list,
data/raw/faa_atcscc_advisories/2024_12/parsed_20241204.csv,3182,FAA ATCSCC advisories,2024-12-04,19,downloaded,https://www.fly.faa.gov/adv/adv_list,
data/raw/faa_atcscc_advisories/2024_12/parsed_20241209.csv,1579,FAA ATCSCC advisories,2024-12-09,9,downloaded,https://www.fly.faa.gov/adv/adv_list,
data/raw/faa_atcscc_advisories/2024_12/parsed_20241206.csv,2867,FAA ATCSCC advisories,2024-12-06,17,downloaded,https://www.fly.faa.gov/adv/adv_list,
data/raw/faa_atcscc_advisories/2024_12/parsed_20241208.csv,1850,FAA ATCSCC advisories,2024-12-08,11,downloaded,https://www.fly.faa.gov/adv/adv_list,
data/raw/faa_atcscc_advisories/2024_12/parsed_20241205.csv,4141,FAA ATCSCC advisories,2024-12-05,25,downloaded,https://www.fly.faa.gov/adv/adv_list,
data/raw/faa_atcscc_advisories/2024_12/parsed_20241213.csv,1204,FAA ATCSCC advisories,2024-12-13,7,downloaded,https://www.fly.faa.gov/adv/adv_list,
data/raw/faa_atcscc_advisories/2024_12/parsed_20241210.csv,3408,FAA ATCSCC advisories,2024-12-10,20,downloaded,https://www.fly.faa.gov/adv/adv_list,
data/raw/faa_atcscc_advisories/2024_12/parsed_20241214.csv,399,FAA ATCSCC advisories,2024-12-14,2,downloaded,https://www.fly.faa.gov/adv/adv_list,
data/raw/faa_atcscc_advisories/2024_12/parsed_20241212.csv,1844,FAA ATCSCC advisories,2024-12-12,11,downloaded,https://www.fly.faa.gov/adv/adv_list,
data/raw/faa_atcscc_advisories/2024_12/parsed_20241215.csv,913,FAA ATCSCC advisories,2024-12-15,5,downloaded,https://www.fly.faa.gov/adv/adv_list,
data/raw/faa_atcscc_advisories/2024_12/parsed_20241211.csv,3675,FAA ATCSCC advisories,2024-12-11,22,downloaded,https://www.fly.faa.gov/adv/adv_list,
data/raw/faa_atcscc_advisories/2024_12/parsed_20241219.csv,1537,FAA ATCSCC advisories,2024-12-19,9,downloaded,https://www.fly.faa.gov/adv/adv_list,
data/raw/faa_atcscc_advisories/2024_12/parsed_20241217.csv,1722,FAA ATCSCC advisories,2024-12-17,10,downloaded,https://www.fly.faa.gov/adv/adv_list,
data/raw/faa_atcscc_advisories/2024_12/parsed_20241218.csv,3581,FAA ATCSCC advisories,2024-12-18,21,downloaded,https://www.fly.faa.gov/adv/adv_list,
data/raw/faa_atcscc_advisories/2024_12/parsed_20241222.csv,570,FAA ATCSCC advisories,2024-12-22,3,downloaded,https://www.fly.faa.gov/adv/adv_list,
data/raw/faa_atcscc_advisories/2024_12/parsed_20241225.csv,552,FAA ATCSCC advisories,2024-12-25,3,downloaded,https://www.fly.faa.gov/adv/adv_list,
data/raw/faa_atcscc_advisories/2024_12/parsed_20241216.csv,3994,FAA ATCSCC advisories,2024-12-16,24,downloaded,https://www.fly.faa.gov/adv/adv_list,
data/raw/faa_atcscc_advisories/2024_12/parsed_20241223.csv,911,FAA ATCSCC advisories,2024-12-23,5,downloaded,https://www.fly.faa.gov/adv/adv_list,
data/raw/faa_atcscc_advisories/2024_12/parsed_20241220.csv,5301,FAA ATCSCC advisories,2024-12-20,32,downloaded,https://www.fly.faa.gov/adv/adv_list,
data/raw/faa_atcscc_advisories/2024_12/parsed_20241221.csv,4165,FAA ATCSCC advisories,2024-12-21,25,downloaded,https://www.fly.faa.gov/adv/adv_list,
data/raw/faa_atcscc_advisories/2024_12/parsed_20241224.csv,3199,FAA ATCSCC advisories,2024-12-24,19,downloaded,https://www.fly.faa.gov/adv/adv_list,
