artifact,bytes,dataset,date,records,status,url,year
data/raw/faa_atcscc_advisories/2024_05/parsed_20240506.csv,918,FAA ATCSCC advisories,2024-05-06,5,downloaded,https://www.fly.faa.gov/adv/adv_list,
data/raw/faa_atcscc_advisories/2024_05/parsed_20240504.csv,2262,FAA ATCSCC advisories,2024-05-04,13,downloaded,https://www.fly.faa.gov/adv/adv_list,
data/raw/faa_atcscc_advisories/2024_05/parsed_20240503.csv,2038,FAA ATCSCC advisories,2024-05-03,12,downloaded,https://www.fly.faa.gov/adv/adv_list,
data/raw/faa_atcscc_advisories/2024_05/parsed_20240501.csv,3144,FAA ATCSCC advisories,2024-05-01,19,downloaded,https://www.fly.faa.gov/adv/adv_list,
data/raw/faa_atcscc_advisories/2024_05/parsed_20240505.csv,4193,FAA ATCSCC advisories,2024-05-05,25,downloaded,https://www.fly.faa.gov/adv/adv_list,
data/raw/faa_atcscc_advisories/2024_05/parsed_20240502.csv,3882,FAA ATCSCC advisories,2024-05-02,23,downloaded,https://www.fly.faa.gov/adv/adv_list,
data/raw/faa_atcscc_advisories/2024_05/parsed_20240509.csv,2600,FAA ATCSCC advisories,2024-05-09,15,downloaded,https://www.fly.faa.gov/adv/adv_list,
data/raw/faa_atcscc_advisories/2024_05/parsed_20240510.csv,1410,FAA ATCSCC advisories,2024-05-10,8,downloaded,https://www.fly.faa.gov/adv/adv_list,
data/raw/faa_atcscc_advisories/2024_05/parsed_20240511.csv,898,FAA ATCSCC advisories,2024-05-11,5,downloaded,https://www.fly.faa.gov/adv/adv_list,
data/raw/faa_atcscc_advisories/2024_05/parsed_20240507.csv,4253,FAA ATCSCC advisories,2024-05-07,25,downloaded,https://www.fly.faa.gov/adv/adv_list,
data/raw/faa_atcscc_advisories/2024_05/parsed_20240508.csv,4884,FAA ATCSCC advisories,2024-05-08,29,downloaded,https://www.fly.faa.gov/adv/adv_list,
