airport,artifact,bytes,dataset,month,station,status,url,year
ATL,data/raw/iem_asos/iem_asos_2024_09_ATL.csv,62193,IEM ASOS,9,ATL,downloaded,https://mesonet.agron.iastate.edu/cgi-bin/request/asos.py?station=ATL&data=tmpf&data=dwpf&data=sknt&data=drct&data=vsby&data=skyc1&data=skyl1&year1=2024&month1=9&day1=1&year2=2024&month2=10&day2=1&tz=Etc%2FUTC&format=onlycomma&latlon=yes&elev=yes&missing=M&trace=T&direct=yes&report_type=3,2024
DEN,data/raw/iem_asos/iem_asos_2024_09_DEN.csv,63432,IEM ASOS,9,DEN,downloaded,https://mesonet.agron.iastate.edu/cgi-bin/request/asos.py?station=DEN&data=tmpf&data=dwpf&data=sknt&data=drct&data=vsby&data=skyc1&data=skyl1&year1=2024&month1=9&day1=1&year2=2024&month2=10&day2=1&tz=Etc%2FUTC&format=onlycomma&latlon=yes&elev=yes&missing=M&trace=T&direct=yes&report_type=3,2024
EWR,data/raw/iem_asos/iem_asos_2024_09_EWR.csv,60620,IEM ASOS,9,EWR,downloaded,https://mesonet.agron.iastate.edu/cgi-bin/request/asos.py?station=EWR&data=tmpf&data=dwpf&data=sknt&data=drct&data=vsby&data=skyc1&data=skyl1&year1=2024&month1=9&day1=1&year2=2024&month2=10&day2=1&tz=Etc%2FUTC&format=onlycomma&latlon=yes&elev=yes&missing=M&trace=T&direct=yes&report_type=3,2024
JFK,data/raw/iem_asos/iem_asos_2024_09_JFK.csv,60946,IEM ASOS,9,JFK,downloaded,https://mesonet.agron.iastate.edu/cgi-bin/request/asos.py?station=JFK&data=tmpf&data=dwpf&data=sknt&data=drct&data=vsby&data=skyc1&data=skyl1&year1=2024&month1=9&day1=1&year2=2024&month2=10&day2=1&tz=Etc%2FUTC&format=onlycomma&latlon=yes&elev=yes&missing=M&trace=T&direct=yes&report_type=3,2024
LAX,data/raw/iem_asos/iem_asos_2024_09_LAX.csv,61808,IEM ASOS,9,LAX,downloaded,https://mesonet.agron.iastate.edu/cgi-bin/request/asos.py?station=LAX&data=tmpf&data=dwpf&data=sknt&data=drct&data=vsby&data=skyc1&data=skyl1&year1=2024&month1=9&day1=1&year2=2024&month2=10&day2=1&tz=Etc%2FUTC&format=onlycomma&latlon=yes&elev=yes&missing=M&trace=T&direct=yes&report_type=3,2024
LGA,data/raw/iem_asos/iem_asos_2024_09_LGA.csv,60842,IEM ASOS,9,LGA,downloaded,https://mesonet.agron.iastate.edu/cgi-bin/request/asos.py?station=LGA&data=tmpf&data=dwpf&data=sknt&data=drct&data=vsby&data=skyc1&data=skyl1&year1=2024&month1=9&day1=1&year2=2024&month2=10&day2=1&tz=Etc%2FUTC&format=onlycomma&latlon=yes&elev=yes&missing=M&trace=T&direct=yes&report_type=3,2024
ORD,data/raw/iem_asos/iem_asos_2024_09_ORD.csv,62060,IEM ASOS,9,ORD,downloaded,https://mesonet.agron.iastate.edu/cgi-bin/request/asos.py?station=ORD&data=tmpf&data=dwpf&data=sknt&data=drct&data=vsby&data=skyc1&data=skyl1&year1=2024&month1=9&day1=1&year2=2024&month2=10&day2=1&tz=Etc%2FUTC&format=onlycomma&latlon=yes&elev=yes&missing=M&trace=T&direct=yes&report_type=3,2024
SFO,data/raw/iem_asos/iem_asos_2024_09_SFO.csv,61095,IEM ASOS,9,SFO,downloaded,https://mesonet.agron.iastate.edu/cgi-bin/request/asos.py?station=SFO&data=tmpf&data=dwpf&data=sknt&data=drct&data=vsby&data=skyc1&data=skyl1&year1=2024&month1=9&day1=1&year2=2024&month2=10&day2=1&tz=Etc%2FUTC&format=onlycomma&latlon=yes&elev=yes&missing=M&trace=T&direct=yes&report_type=3,2024
DFW,data/raw/iem_asos/iem_asos_2024_09_DFW.csv,61445,IEM ASOS,9,DFW,downloaded,https://mesonet.agron.iastate.edu/cgi-bin/request/asos.py?station=DFW&data=tmpf&data=dwpf&data=sknt&data=drct&data=vsby&data=skyc1&data=skyl1&year1=2024&month1=9&day1=1&year2=2024&month2=10&day2=1&tz=Etc%2FUTC&format=onlycomma&latlon=yes&elev=yes&missing=M&trace=T&direct=yes&report_type=3,2024
BOS,data/raw/iem_asos/iem_asos_2025_09_BOS.csv,60605,IEM ASOS,9,BOS,downloaded,https://mesonet.agron.iastate.edu/cgi-bin/request/asos.py?station=BOS&data=tmpf&data=dwpf&data=sknt&data=drct&data=vsby&data=skyc1&data=skyl1&year1=2025&month1=9&day1=1&year2=2025&month2=10&day2=1&tz=Etc%2FUTC&format=onlycomma&latlon=yes&elev=yes&missing=M&trace=T&direct=yes&report_type=3,2025
