target,reference_model,queue_fraction,airport_hours,queue_size,overlap_hours,overlap_share,churn_share,cqs_only_hours,reference_only_hours,total_events,cqs_only_events,cqs_only_arrivals_mean,cqs_only_calibrated_risk_mean,cqs_only_event_mass_mean,cqs_only_observed_event_rate,cqs_only_excess_delay60_minutes,reference_only_events,reference_only_arrivals_mean,reference_only_calibrated_risk_mean,reference_only_event_mass_mean,reference_only_observed_event_rate,reference_only_excess_delay60_minutes,event_gain,event_capture_gain,excess_delay60_gain
long_arrival_delay,RAEG-Rank,0.1,53049,5305,3483,0.656550424128181,0.343449575871819,1822,1822,151489.0,15928.0,67.86608122941823,0.12742925773290328,8.39269497428743,0.12881312069355935,1426184.0,6813.0,14.273326015367727,0.27272634347866803,3.705501448229126,0.26197800507575175,549743.0,9115.0,0.060169385235891715,876441.0
severe_arrival_delay,RAEG-Rank,0.1,53049,5305,3563,0.6716305372290292,0.3283694627709708,1742,1742,67796.0,5854.0,70.3662456946039,0.04750368658813024,3.261705819900904,0.04775734634273687,1325742.0,2637.0,15.564867967853042,0.10136088796603174,1.4576691869135179,0.0972560300951538,521510.0,3217.0,0.04745117706059355,804232.0
cancellation,RAEG-Rank,0.1,53049,5305,3922,0.7393025447690857,0.26069745523091425,1383,1383,26755.0,1885.0,64.23716558206797,0.02178832009944076,1.339185336707215,0.021217919855920756,1400968.0,799.0,12.211858279103398,0.05163393691016166,0.5383631283148155,0.047308899283557346,296389.0,1086.0,0.040590543823584374,1104579.0
