target,bin_id,count,arrivals,pred_rate,obs_rate,gap
long_arrival_delay,0,5305,156329.0,0.025168909865476867,0.022900421546865904,0.002268488318610963
long_arrival_delay,1,5305,160208.0,0.031230531274659502,0.029979776290821932,0.0012507549838375702
long_arrival_delay,2,5305,162227.0,0.036703482703172016,0.03713931712970098,0.000435834426528961
long_arrival_delay,3,5305,162674.0,0.04290721191881428,0.042631274819577805,0.0002759370992364771
long_arrival_delay,4,5305,165544.0,0.050378909301790384,0.05106799400763543,0.0006890847058450486
long_arrival_delay,5,5304,164573.0,0.05961156025944067,0.06066001105892218,0.0010484507994815082
long_arrival_delay,6,5305,166607.0,0.07169186090072802,0.07229588192572942,0.0006040210250014
long_arrival_delay,7,5305,162872.0,0.09088113130764204,0.09389582003045337,0.003014688722811326
long_arrival_delay,8,5305,167439.0,0.1367993916156916,0.14211145551514281,0.005312063899451214
long_arrival_delay,9,5305,162287.0,0.35866598305124786,0.3732646484314825,0.014598665380234632
severe_arrival_delay,0,5305,124587.0,0.011289708935319751,0.011196994871053962,9.271406426578956e-05
severe_arrival_delay,1,5305,152160.0,0.014001404568108963,0.013899842271293376,0.00010156229681558722
severe_arrival_delay,2,5305,160981.0,0.01605080024038179,0.016405662780079638,0.00035486253969784637
severe_arrival_delay,3,5305,163050.0,0.01816594823466516,0.019423489727077584,0.0012575414924124242
severe_arrival_delay,4,5305,167873.0,0.02056134496664155,0.021897505852638603,0.001336160885997053
severe_arrival_delay,5,5304,169239.0,0.023651323070233057,0.024964694898929916,0.0013133718286968583
severe_arrival_delay,6,5305,168411.0,0.028006243299618046,0.02885797246023122,0.0008517291606131745
severe_arrival_delay,7,5305,176202.0,0.034666259206892244,0.03639005232630731,0.0017237931194150624
severe_arrival_delay,8,5305,177750.0,0.0497709936002573,0.05246694796061885,0.0026959543603615466
severe_arrival_delay,9,5305,170507.0,0.1593520326376708,0.17582269349645469,0.016470660858783875
cancellation,0,5305,166225.0,0.0012475838381765195,0.0011009174311926607,0.00014666640698385888
cancellation,1,5305,159911.0,0.0016256331092022076,0.001475820925389748,0.00014981218381245965
cancellation,2,5305,165479.0,0.002057425506603799,0.0018733494884547283,0.00018407601814907082
cancellation,3,5305,166174.0,0.002666995105086236,0.0025214534162985784,0.00014554168878765745
cancellation,4,5305,166789.0,0.0035248820586522185,0.0036033551373292005,7.847307867698194e-05
cancellation,5,5304,161836.0,0.004764752245838917,0.004640500259521985,0.00012425198631693148
cancellation,6,5305,161450.0,0.006738326983188177,0.00640445958501084,0.0003338673981773373
cancellation,7,5305,165649.0,0.0105087144694625,0.010262663825317387,0.0002460506441451134
cancellation,8,5305,164824.0,0.02030424276348866,0.021107363005387566,0.0008031202418989046
cancellation,9,5305,152423.0,0.10513454758550296,0.11836796284025376,0.013233415254750802
