target,cqs_top10_capture,gain_vs_gt_probability,gain_vs_raeg_probability,brier_gain_vs_gt,brier_gain_vs_raeg,ece_gain_vs_gt,ece_gain_vs_raeg,positive_against_both
cancellation,0.7149317884507569,0.039693515230798,0.0406279200149505,-5.098426573186578e-05,-5.492989239293256e-05,-0.0005075765724059,0.001265371560719,True
long_arrival_delay,0.4613272250790486,0.0611859606968163,0.0603410148591647,1.5532973037801767e-06,-2.5777808425941903e-05,2.9561345712690243e-05,0.0010184687561691,True
severe_arrival_delay,0.4900731606584459,0.0485721871496843,0.0474216767950911,-4.282553957984936e-06,-2.4923141621474576e-06,-9.19033013312546e-05,0.0016138024336449,True
