target,candidate,reference,auc_gain,pr_auc_gain,brier_gain,ece_10_gain,top5_capture_gain,top10_capture_gain,top20_capture_gain
cancellation,CQS-Rank,Graph-temporal evidence,-0.01960736610456193,-0.036970350468059576,-5.098426573186578e-05,-0.0005075765724059756,0.05296206316576346,0.039693515230798004,0.024032891048402116
cancellation,CQS-Rank,RAEG-Rank,-0.019524552233763925,-0.036112983607006544,-5.4929892392932556e-05,0.0012653715607190742,0.053784339375817614,0.040627920014950525,0.022836852924686957
long_arrival_delay,CQS-Rank,Graph-temporal evidence,-0.04037866070115459,-0.05899090388277872,1.5532973037801767e-06,2.9561345712690243e-05,0.0631729036431688,0.06118596069681631,0.07131870960927855
long_arrival_delay,CQS-Rank,RAEG-Rank,-0.04079055526862507,-0.0577918027833807,-2.5777808425941906e-05,0.0010184687561691236,0.06252599198621683,0.06034101485916471,0.07088963555109618
severe_arrival_delay,CQS-Rank,Graph-temporal evidence,-0.032960966679167925,-0.032373208328873415,-4.282553957984936e-06,-9.19033013312546e-05,0.04835093515841643,0.048572187149684365,0.06498908490176414
severe_arrival_delay,CQS-Rank,RAEG-Rank,-0.0331029234050485,-0.03212694942871694,-2.4923141621474576e-06,0.0016138024336449347,0.04964894684052157,0.04742167679509113,0.06547583928255352
